name,symbol,tv_symbol,eod_symbol,y_symbol
El Nasr Manufacturing Agricultural Crops (ELNA),ELNA,EGX:ELNA,ELNA.CA,ELNA.CA
Egypt for Poultry (EPCO),EPCO,EGX:EPCO,EPCO.CA,EPCO.CA
Gharbia Islamic Housing Development (GIHD),GIHD,EGX:GIHD,GIHD.CA,GIHD.CA
El Wadi for International and Investment Development (ELWA),ELWA,EGX:ELWA,ELWA.CA,ELWA.CA
Grand Capital for Financial Investments (GRCA),GRCA,EGX:GRCA,GRCA.CA,GRCA.CA
Northern Upper Egypt For Development (NEDA),NEDA,EGX:NEDA,NEDA.CA,NEDA.CA
Marsa Marsa Alam For Tourism Development (MMAT),MMAT,EGX:MMAT,MMAT.CA,MMAT.CA
Gulf Canadian Company for Arab Real Estate Investment (CCRS),CCRS,EGX:CCRS,CCRS.CA,CCRS.CA
I Wave Beyond Your Expectations (DGTZ),DGTZ,EGX:DGTZ,DGTZ.CA,DGTZ.CA
El Ahram Co. For Printing And Packaging (EPPK),EPPK,EGX:EPPK,EPPK.CA,EPPK.CA
GMC Group For Industrial Commercial & Financial Investments (GMCI),GMCI,EGX:GMCI,GMCI.CA,GMCI.CA
El Orouba Securities Brokerage (EOSB),EOSB,EGX:EOSB,EOSB.CA,EOSB.CA
Copper for Commercial Investment & Real Estate Development (COPR),COPR,EGX:COPR,COPR.CA,COPR.CA
